pubkey,balance_sol,owner,executable
13MJfsQ5DrKYPKdj9wfEL8VRGUat9eaTntY5CrB8xrDu,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13Nd1gSYnNdLivc5DJ9jcE3ibQYN2i2HvHRvdUEeHDQR,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13PB4yZPapavyjRWC6iXoREGCMj1DQVgbVqUzz73R8uJ,0.0019836,HxpS49P2HFa44JCLaqqVqQetdGezVXfYunDuEPP9qZfc,false
13PNYw7mofHsVfhRJzgs15hsQg1zutUMLSqQ4pSPUmym,0.0016008,namesLPneVptA9Z5rqUDD9tMTWEJwofgaYwp8cawRkX,false
13PRF7B3TyKG4n3HHpiJE6eH9EYpCfNJH7GvSLeyjGd2,0.00408356,11111111111111111111111111111111,false
13QXtjgJc4hEVShPGNZ7yWsfQbpBFaSv25P8pmsurfgw,0.00408356,11111111111111111111111111111111,false
13Qoajuwx1Nwc6naoaA2CXVFW93fUEhALqhsWHnru46d,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13RTxQ53DUYnFoZv5Hf9amdhCyHqE7RxKpG8ibtMxUhT,0.00408356,11111111111111111111111111111111,false
13RyY1uJ4t5irAeatM5gq2jF567P5PrUHtGRpuu3QGSF,0.00094656,A2T2sPg3ZuSae5JvoERfQEZAYbi4iR7gQEMMi85C3h4n,false
13SzyqYvS7q7stP1XhByd8LckDuqSHcpWvwuGDbWUjBJ,0.0099342,11111111111111111111111111111111,false
13TJMsqk25dLhtBDCJCGZy9bURJ9KuXB4XA6sJLbMvbc,0.0151156,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
13U9yowvi2scBa83b3SjVrXrvfQ5hHsCdPp7KfQcLVR4,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
13UALA32mBmXLupJNcW7WKzgJbRGQyKetdMPoEPVmRwr,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13ViKAqMvXFDGcELyFuvR66bHR5EYnEnV1YTyXTCfmVY,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13XEVYsLgSKu3LdPM8xRWQnp78ZSZC5acir5Pn5Ajfpw,0.00380712,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
